Total Activity	Total 401k Revenue	Total Paychex	Losses - RW	"-10,554"	-575	-956	-550	-617	-874	-690	-802	"-1,658"	"-1,002"	-916	"-1,126"	-788	"-10,092"	-807	-876	-627	-988	-418	-630	-632	"-1,701"	-862	-999	-746	-806	"-10,868"	-998	-574	-843	-664	-602	"-1,125"	-791	"-1,564"	-966	-779	-932	"-1,030"	"-11,082"	-770	-770	-999	-656	-764	-850	-811	"-1,732"	-781	-780	"-1,046"	"-1,123"	"-12,218"	-736	-752	"-1,122"	-862	"-1,268"	-722	-859	"-1,759"	-969	-967	"-1,058"	"-1,144"	"-12,410"	-866	"-1,033"	-775	-721	"-1,088"	-808	-825	"-1,846"	"-1,080"	"-1,121"	"-1,265"	-982	"-12,193"	-565	"-1,026"	-699	"-1,016"	-780	-971	-763	"-1,474"	"-1,170"	"-1,388"	"-1,169"	"-1,172"	"-13,184"	-926	-828	-791	"-1,088"	-869	-896	-871	"-1,707"	"-1,170"	"-1,550"	"-1,262"	"-1,226"	"-13,415"	"-1,036"	-959	-791	"-1,088"	-869	-896	-861	"-1,707"	"-1,170"	"-1,550"	"-1,262"	"-1,226"	"-13,830"	"-1,036"	-959	-941	"-1,156"	"-1,020"	-916	-854	"-1,740"	"-1,170"	"-1,550"	"-1,262"	"-1,226"	"-13,793"	"-1,036"	-959	-941	"-1,206"	-955	-894	-854	"-1,740"	"-1,170"	"-1,550"	"-1,262"	"-1,226"	"-13,650"	"-1,036"	-959	-941	"-1,206"	-798	-908	-854	"-1,740"	"-1,170"	"-1,550"	"-1,262"	"-1,226"	"-13,544"	"-1,036"	-959	-941	"-1,206"	-798	-792	-864	"-1,740"	"-1,170"	"-1,550"	"-1,262"	"-1,226"	"-12,878"	"-1,036"	-959	-941	"-1,206"	-798	-792	-587	"-1,351"	"-1,170"	"-1,550"	"-1,262"	"-1,226"
Total Activity	Total 401k Revenue	Total Paychex	Ending Client Base - RW	"69,512"	"66,475"	"66,343"	"66,768"	"67,466"	"67,996"	"68,071"	"68,248"	"68,743"	"68,764"	"69,019"	"69,065"	"69,512"	"74,092"	"69,932"	"70,049"	"70,430"	"70,638"	"71,728"	"71,869"	"72,418"	"72,785"	"73,020"	"73,148"	"73,625"	"74,092"	"77,624"	"74,291"	"74,715"	"74,907"	"75,584"	"76,511"	"76,111"	"76,543"	"76,945"	"77,145"	"77,511"	"77,698"	"77,624"	"82,268"	"78,275"	"78,483"	"78,519"	"79,652"	"79,942"	"79,946"	"80,374"	"80,726"	"81,297"	"81,765"	"82,009"	"82,268"	"87,155"	"82,946"	"83,303"	"83,573"	"84,017"	"84,274"	"84,650"	"85,032"	"85,612"	"85,950"	"86,329"	"86,756"	"87,155"	"90,572"	"87,630"	"87,695"	"88,242"	"89,109"	"89,746"	"90,052"	"90,669"	"91,027"	"91,353"	"91,668"	"91,047"	"90,572"	"95,532"	"91,432"	"91,649"	"92,122"	"92,618"	"93,500"	"93,591"	"94,266"	"95,281"	"95,653"	"95,800"	"96,252"	"95,532"	"102,275"	"95,995"	"96,457"	"97,209"	"97,960"	"98,275"	"98,746"	"100,545"	"100,669"	"101,126"	"101,455"	"101,818"	"102,275"	"102,656"	"96,209"	"96,838"	"97,594"	"98,278"	"98,589"	"99,056"	"100,760"	"100,989"	"101,471"	"101,772"	"102,106"	"102,656"	"102,280"	"96,209"	"96,838"	"97,480"	"98,107"	"98,275"	"98,722"	"100,412"	"100,608"	"101,090"	"101,392"	"101,723"	"102,280"	"103,108"	"96,209"	"96,838"	"97,480"	"98,195"	"98,582"	"99,175"	"100,950"	"101,208"	"101,744"	"102,109"	"102,492"	"103,108"	"104,222"	"96,209"	"96,838"	"97,480"	"98,195"	"99,485"	"100,068"	"101,877"	"102,176"	"102,747"	"103,152"	"103,569"	"104,222"	"104,507"	"96,209"	"96,838"	"97,480"	"98,195"	"99,485"	"99,907"	"101,738"	"102,046"	"102,712"	"103,227"	"103,748"	"104,507"	"105,162"	"96,209"	"96,838"	"97,480"	"98,195"	"99,485"	"99,907"	"100,659"	"102,609"	"103,291"	"103,838"	"104,387"	"105,162"
Total Activity	Total 401k Revenue	Total Paychex	Ending Asset Values - RW	"23,519,286,554"	"22,197,436,072"	"21,864,737,471"	"22,408,616,685"	"21,945,186,589"	"22,166,957,557"	"22,728,955,772"	"22,649,643,009"	"22,384,183,709"	"23,167,487,404"	"23,111,380,442"	"23,202,249,905"	"23,519,286,554"	"23,604,950,592"	"23,481,862,513"	"23,384,517,374"	"22,460,150,822"	"21,910,323,993"	"23,096,877,813"	"23,204,153,876"	"22,951,047,078"	"21,438,415,979"	"21,942,905,488"	"23,107,240,970"	"23,448,836,001"	"23,604,950,592"	"27,357,171,353"	"23,782,079,000"	"24,450,383,000"	"24,672,444,000"	"24,693,203,000"	"24,409,822,000"	"24,807,989,087"	"25,259,832,130"	"25,302,945,964"	"26,366,349,441"	"26,634,372,715"	"27,013,421,561"	"27,357,171,353"	"30,569,598,097"	"27,584,788,181"	"28,174,130,454"	"28,319,761,931"	"28,829,547,252"	"29,081,543,462"	"29,696,436,188"	"30,132,663,199"	"31,306,943,383"	"30,399,321,806"	"30,081,732,616"	"30,303,008,299"	"30,569,598,097"	"31,004,160,280"	"30,563,450,500"	"31,270,911,933"	"31,724,416,843"	"31,695,402,707"	"29,792,096,792"	"30,029,950,807"	"28,543,633,791"	"30,093,336,500"	"31,002,317,328"	"31,370,167,277"	"32,210,216,995"	"31,004,160,280"	"32,313,263,661"	"32,485,372,599"	"32,641,916,805"	"32,167,566,325"	"32,470,784,219"	"32,834,453,546"	"33,533,268,433"	"34,279,489,071"	"33,965,643,110"	"32,162,150,530"	"28,677,980,778"	"31,038,031,006"	"32,313,263,661"	"45,895,238,063"	"35,822,341,372"	"37,260,387,119"	"38,838,781,661"	"38,111,922,193"	"37,561,639,044"	"40,864,170,327"	"42,418,097,618"	"42,119,958,985"	"43,222,297,086"	"44,018,121,098"	"45,591,806,337"	"45,895,238,063"	"47,711,594,080"	"45,585,527,937"	"45,567,500,155"	"45,727,855,514"	"45,644,670,686"	"45,868,473,498"	"46,045,335,069"	"46,980,622,431"	"47,068,664,252"	"47,257,001,244"	"47,405,725,629"	"47,447,479,448"	"47,711,594,080"	"48,534,612,224"	"47,000,285,008"	"47,035,072,322"	"46,460,751,884"	"46,386,981,193"	"46,583,269,723"	"46,825,465,318"	"47,716,713,789"	"47,765,414,366"	"48,009,646,549"	"48,118,860,971"	"48,304,675,006"	"48,534,612,224"	"48,187,354,855"	"47,000,285,008"	"47,035,072,322"	"47,839,515,924"	"46,237,580,697"	"46,384,740,808"	"46,569,843,323"	"47,359,428,866"	"47,495,254,347"	"47,676,297,717"	"47,842,452,044"	"47,944,458,237"	"48,187,354,855"	"48,659,301,634"	"47,000,285,008"	"47,035,072,322"	"47,839,515,924"	"46,838,337,027"	"46,978,584,843"	"47,271,620,706"	"47,674,215,976"	"47,736,245,709"	"48,012,346,791"	"48,198,697,921"	"48,315,011,138"	"48,659,301,634"	"50,599,971,018"	"47,000,285,008"	"47,035,072,322"	"47,839,515,924"	"46,838,337,027"	"48,512,881,213"	"48,679,138,158"	"49,512,457,854"	"49,656,282,551"	"49,938,534,516"	"50,127,214,656"	"50,327,822,688"	"50,599,971,018"	"49,850,985,562"	"47,000,285,008"	"47,035,072,322"	"47,839,515,924"	"46,838,337,027"	"48,512,881,213"	"47,969,743,759"	"48,554,088,958"	"48,694,313,184"	"49,006,577,226"	"49,245,451,184"	"49,488,808,412"	"49,850,985,562"	"46,667,470,050"	"47,000,285,008"	"47,035,072,322"	"47,839,515,924"	"46,838,337,027"	"48,512,881,213"	"47,969,743,759"	"48,648,004,049"	"45,514,590,747"	"45,857,652,810"	"46,090,193,655"	"46,325,778,420"	"46,667,470,050"
Total Activity	Total 401k Revenue	Total Paychex	Basis Points - RW														7%	1%	0%	1%	1%	1%	1%	1%	1%	1%	1%	1%	1%	4%	1%	0%	1%	1%	1%	1%																																																											10%	1%	1%	1%	1%	1%	1%	1%	1%	1%	1%	1%	1%	8%			1%	1%	1%	1%	1%	1%	1%	1%	1%	1%	16%				1%	2%	2%	2%	2%	2%	2%	2%	2%	9%					1%	1%	1%	1%	1%	1%	1%	1%	8%						1%	1%	1%	1%	1%	1%	1%	7%							1%	1%	1%	1%	1%	1%	5%									1%	1%	1%	1%
Total Activity	Total 401k Revenue	Total Paychex	Basis Points - Solicitor - RW														5%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	2%	0%	0%	0%	0%	0%	0%																																																											-2%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-1%			0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-1%				0%	0%	0%	0%	0%	0%	0%	0%	0%	-1%					0%	0%	0%	0%	0%	0%	0%	0%	-1%						0%	0%	0%	0%	0%	0%	0%	-1%							0%	0%	0%	0%	0%	0%	-1%									0%	0%	0%	0%
Total Activity	Total 401k Revenue	Total Paychex	Set Up Rate - Calculated - RW	392	473	362	367	379	479	364	246	472	383	390	370	392	373	452	418	372	387	518	325	270	500	416	363	385	373	796	455	417	399	426	482	826	37	821	395	383	-1	796	760	365	-19	800	130	437	778	35	795	381	-8	428	760	768	-21	428	755	24	790	362	48	745	361	45	370	768	-1	228	883	-1	358	754	-10	255	818	-7	449	974	-1	14	316	526	16	562	20	293	232	400	287	455	231	14	281	296	296	289	293	290	297	303	290	294	298	283	281	538	397	9	582	591	569	575	610	540	565	586	553	538	536	397	9	145	534	535	539	543	537	538	542	525	536	537	397	9	144	319	538	540	543	538	538	542	526	537	537	397	9	144	318	30	540	544	538	539	543	526	537	538	397	9	144	318	30	144	543	538	540	543	526	538	592	397	9	144	318	30	156	108	192	594	599	577	592
Total Activity	Total 401k Revenue	Total Paychex	Basis Pts - Calc - RW	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
Total Activity	Total 401k Revenue	Total Paychex	Maintenance Rate - Calculated - RW	146	146	148	145	142	152	147	169	145	148	149	153	146	147	146	152	144	150	146	147	146	152	149	148	151	147	139	137	138	138	135	140	137	136	142	138	139	141	139	139	141	143	137	139	141	140	138	144	139	139	142	139	138	138	139	138	139	141	137	138	139	138	138	138	138	140	139	140	136	140	138	137	131	145	142	141	139	140	144	140	143	140	146	146	144	144	153	149	136	144	144	107	111	108	117	107	105	112	105	103	110	103	99	107	107	143	142	116	107	105	112	105	102	109	103	99	107	124	143	142	140	113	110	120	113	113	122	117	116	124	121	143	142	140	144	108	118	111	109	120	114	113	121	120	143	142	140	144	139	118	112	110	119	114	112	120	120	143	142	140	144	139	138	112	109	119	114	112	120	116	143	142	140	144	139	138	141	138	116	109	106	116
Total Activity	Total 401k Revenue	Total Paychex	Average Assets/Clients - Calculated - RW	"347,257"	"512,168"	"332,079"	"331,546"	"328,712"	"324,373"	"329,773"	"332,454"	"327,552"	"331,217"	"335,262"	"335,290"	"336,068"	"331,385"	"496,033"	"334,526"	"325,463"	"314,069"	"313,735"	"322,121"	"318,672"	"304,936"	"297,051"	"307,938"	"316,170"	"317,536"	"344,086"	"468,949"	"322,776"	"327,892"	"326,561"	"320,889"	"323,329"	"327,057"	"328,564"	"334,884"	"341,892"	"345,233"	"350,218"	"377,241"	"469,371"	"355,229"	"359,747"	"358,744"	"362,207"	"367,611"	"372,192"	"380,544"	"379,511"	"369,847"	"368,159"	"369,965"	"370,862"	"460,894"	"371,141"	"376,888"	"377,423"	"364,807"	"353,349"	"344,420"	"342,458"	"355,414"	"361,249"	"366,432"	"362,655"	"367,732"	"447,225"	"371,328"	"367,226"	"362,693"	"363,834"	"368,497"	"373,958"	"374,862"	"361,936"	"331,850"	"327,941"	"349,729"	"437,699"	"446,876"	"398,710"	"413,035"	"415,420"	"404,671"	"418,982"	"441,741"	"443,625"	"446,103"	"455,326"	"465,496"	"478,829"	"469,294"	"476,487"	"472,506"	"469,583"	"466,377"	"465,597"	"465,405"	"462,609"	"467,121"	"466,377"	"466,526"	"465,798"	"465,212"	"476,478"	"482,780"	"485,529"	"479,004"	"472,373"	"471,504"	"471,495"	"469,145"	"472,735"	"471,933"	"472,274"	"472,174"	"471,669"	"476,818"	"482,780"	"485,529"	"486,636"	"479,462"	"471,241"	"470,790"	"467,719"	"471,407"	"470,727"	"471,037"	"470,822"	"469,944"	"478,135"	"482,780"	"485,529"	"486,636"	"482,091"	"475,832"	"475,171"	"470,262"	"471,358"	"470,537"	"471,119"	"470,835"	"470,256"	"486,502"	"482,780"	"485,529"	"486,636"	"482,091"	"479,224"	"485,630"	"481,912"	"485,284"	"484,660"	"485,040"	"484,967"	"484,196"	"481,760"	"482,780"	"485,529"	"486,636"	"482,091"	"479,224"	"482,862"	"474,375"	"476,493"	"475,606"	"475,903"	"475,837"	"475,278"	"469,261"	"482,780"	"485,529"	"486,636"	"482,091"	"479,224"	"482,862"	"479,926"	"458,842"	"442,305"	"442,747"	"442,660"	"442,143"
Total Activity	Total 401k Revenue	Total Paychex	Average Asset Values - Calculated - RW	"23,544,508,077"	"34,046,337,068"	"22,031,086,772"	"22,136,677,078"	"22,176,901,637"	"22,056,072,073"	"22,447,956,665"	"22,689,299,391"	"22,516,913,359"	"22,775,835,556"	"23,139,433,923"	"23,156,815,173"	"23,360,768,229"	"23,764,702,186"	"34,688,550,288"	"23,433,189,944"	"22,922,334,098"	"22,185,237,407"	"22,503,600,903"	"23,150,515,845"	"23,077,600,477"	"22,194,731,528"	"21,690,660,733"	"22,525,073,229"	"23,278,038,485"	"23,526,893,296"	"26,168,253,884"	"34,838,658,532"	"24,116,231,000"	"24,561,413,500"	"24,682,823,500"	"24,551,512,500"	"24,608,905,544"	"25,033,910,608"	"25,281,389,047"	"25,834,647,703"	"26,500,361,078"	"26,823,897,138"	"27,185,296,457"	"30,178,524,571"	"36,740,013,122"	"27,879,459,318"	"28,246,946,192"	"28,574,654,591"	"28,955,545,357"	"29,388,989,825"	"29,914,549,693"	"30,719,803,291"	"30,853,132,595"	"30,240,527,211"	"30,192,370,458"	"30,436,303,198"	"31,395,466,720"	"38,229,344,282"	"30,917,181,216"	"31,497,664,388"	"31,709,909,775"	"30,743,749,749"	"29,911,023,799"	"29,286,792,299"	"29,318,485,145"	"30,547,826,914"	"31,186,242,303"	"31,790,192,136"	"31,607,188,638"	"32,946,742,274"	"39,190,305,331"	"32,563,644,702"	"32,404,741,565"	"32,319,175,272"	"32,652,618,883"	"33,183,860,989"	"33,906,378,752"	"34,122,566,091"	"33,063,896,820"	"30,420,065,654"	"29,858,005,892"	"31,675,647,333"	"40,977,063,409"	"40,858,789,718"	"36,541,364,245"	"38,049,584,390"	"38,475,351,927"	"37,836,780,618"	"39,212,904,685"	"41,641,133,973"	"42,269,028,301"	"42,671,128,035"	"43,620,209,092"	"44,804,963,718"	"45,743,522,200"	"46,450,189,328"	"45,740,383,000"	"45,576,514,046"	"45,647,677,835"	"45,686,263,100"	"45,756,572,092"	"45,956,904,283"	"46,512,978,750"	"47,024,643,342"	"47,162,832,748"	"47,331,363,437"	"47,426,602,539"	"47,579,536,764"	"47,285,171,773"	"46,447,761,535"	"47,017,678,665"	"46,747,912,103"	"46,423,866,539"	"46,485,125,458"	"46,704,367,520"	"47,271,089,554"	"47,741,064,078"	"47,887,530,458"	"48,064,253,760"	"48,211,767,989"	"48,419,643,615"	"47,202,185,479"	"46,447,761,535"	"47,017,678,665"	"47,437,294,123"	"47,038,548,311"	"46,311,160,752"	"46,477,292,066"	"46,964,636,095"	"47,427,341,606"	"47,585,776,032"	"47,759,374,880"	"47,893,455,141"	"48,065,906,546"	"47,514,766,934"	"46,447,761,535"	"47,017,678,665"	"47,437,294,123"	"47,338,926,475"	"46,908,460,935"	"47,125,102,775"	"47,472,918,341"	"47,705,230,842"	"47,874,296,250"	"48,105,522,356"	"48,256,854,529"	"48,487,156,386"	"48,642,928,871"	"46,447,761,535"	"47,017,678,665"	"47,437,294,123"	"47,338,926,475"	"47,675,609,120"	"48,596,009,685"	"49,095,798,006"	"49,584,370,203"	"49,797,408,534"	"50,032,874,586"	"50,227,518,672"	"50,463,896,853"	"48,171,515,502"	"46,447,761,535"	"47,017,678,665"	"47,437,294,123"	"47,338,926,475"	"47,675,609,120"	"48,241,312,486"	"48,261,916,358"	"48,624,201,071"	"48,850,445,205"	"49,126,014,205"	"49,367,129,798"	"49,669,896,987"	"46,992,784,083"	"46,447,761,535"	"47,017,678,665"	"47,437,294,123"	"47,338,926,475"	"47,675,609,120"	"48,241,312,486"	"48,308,873,904"	"47,081,297,398"	"45,686,121,779"	"45,973,923,233"	"46,207,986,038"	"46,496,624,235"
